total_amount,log_total_amount,items_quantity,log_items_quantity,avg_item_price,log_avg_item_price,max_item_price,log_max_item_price,unique_products,amount_per_item,price_spread,max_to_avg_price_ratio,transaction_hour,transaction_day_of_week,transaction_is_weekend,amount_low,amount_medium,amount_high,amount_very_high,items_single,items_few,items_many,hour_night,hour_morning,hour_afternoon,hour_evening,label
69.04,4.249066507417651,1.0,0.6931471805599453,69.04,4.249066507417651,69.04,4.249066507417651,1.0,69.04,0.0,1.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
74.63,4.325853029867938,1.0,0.6931471805599453,74.63,4.325853029867938,74.63,4.325853029867938,1.0,74.63,0.0,1.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
3.29,1.4562867329399256,1.0,0.6931471805599453,3.29,1.4562867329399256,3.29,1.4562867329399256,1.0,3.29,0.0,1.0,20.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
7.54,2.1447610078004784,1.0,0.6931471805599453,7.54,2.1447610078004784,7.54,2.1447610078004784,1.0,7.54,0.0,1.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
96.16,4.576359104133972,1.0,0.6931471805599453,96.16,4.576359104133972,96.16,4.576359104133972,1.0,96.16,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,LEGIT
367.64,5.909820558067472,1.0,0.6931471805599453,367.64,5.909820558067472,367.64,5.909820558067472,1.0,367.64,0.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
101.5,4.629862798578463,1.0,0.6931471805599453,101.5,4.629862798578463,101.5,4.629862798578463,1.0,101.5,0.0,1.0,22.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,LEGIT
27.07,3.334701390373791,1.0,0.6931471805599453,27.07,3.334701390373791,27.07,3.334701390373791,1.0,27.07,0.0,1.0,17.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,LEGIT
2.82,1.3402504226184837,1.0,0.6931471805599453,2.82,1.3402504226184837,2.82,1.3402504226184837,1.0,2.82,0.0,1.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,LEGIT
892.04,6.794631372706477,1.0,0.6931471805599453,892.04,6.794631372706477,892.04,6.794631372706477,1.0,892.04,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,FRAUD_RISK
